产品名称,发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,利润率,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
"Rubvermaid 灯泡, 耐用",5,6,4,116,89,提前装运,5%,4,2015/8/19,中国,东北,凤城,用具,余嫒,40%,2,辽宁,家具,公司,CN-2015-1137701,2015/8/14,标准级,89
"Safco 搁架, 传统",5,3,578,"3,609","2,754",延迟装运,21%,578,2015/8/19,中国,华北,石家庄,书架,贾伟,0%,3,河北,家具,消费者,CN-2015-5058012,2015/8/14,二级,"2,754"
"佳能 传真复印机, 每套两件",5,3,143,"4,680","3,572",延迟装运,4%,143,2015/8/19,中国,华北,石家庄,复印机,贾伟,0%,4,河北,技术,消费者,CN-2015-5058012,2015/8/14,二级,"3,572"
"Ibico 装订机盖, 回收",0,0,12,86,65,准时装运,18%,12,2015/8/15,中国,中南,汕头,装订机,高凤,0%,1,广东,办公用品,消费者,CN-2015-4167270,2015/8/15,当日,65
"SanDisk 令, 优质",2,3,195,911,695,提前装运,28%,195,2015/8/17,中国,东北,宜春,纸张,田谙,0%,5,黑龙江,办公用品,消费者,CN-2015-2102819,2015/8/15,二级,695
"OIC 订书钉, 金属",2,3,7,140,107,提前装运,7%,7,2015/8/17,中国,华东,上海,系固件,唐凤,0%,2,上海,办公用品,消费者,CN-2015-5525339,2015/8/15,二级,107
"Sauder 书库, 黑色",2,3,"1,016","9,515","7,261",提前装运,14%,"1,016",2015/8/17,中国,东北,宜春,书架,田谙,0%,4,黑龙江,家具,消费者,CN-2015-2102819,2015/8/15,二级,"7,261"
"Tenex 文件车, 金属",4,3,199,815,622,延迟装运,32%,199,2015/8/19,中国,中南,郸城,收纳具,罗君,0%,1,河南,办公用品,消费者,CN-2015-3269021,2015/8/15,二级,622
"Rubvermaid 灯泡, 耐用",4,3,32,97,74,延迟装运,43%,32,2015/8/19,中国,中南,郸城,用具,罗君,0%,1,河南,家具,消费者,CN-2015-3269021,2015/8/15,二级,74
"Memorex 鼠标, 耐用",4,3,91,521,397,延迟装运,23%,91,2015/8/19,中国,中南,郸城,配件,罗君,0%,3,河南,技术,消费者,CN-2015-3269021,2015/8/15,二级,397
"Bush 古典书架, 黑色",6,6,"1,333","7,596","5,796",准时装运,23%,"1,333",2015/8/21,中国,中南,岳阳,书架,范恒,0%,3,湖南,家具,消费者,CN-2015-1136628,2015/8/15,标准级,"5,796"
"爱普生 喷墨打印机, 多色",6,6,949,"3,770","2,877",准时装运,33%,949,2015/8/21,中国,东北,白山,设备,袁关茵,0%,2,吉林,技术,消费者,CN-2015-4080706,2015/8/15,标准级,"2,877"
"Stockwell 按钉, 整包",2,1,83,352,268,延迟装运,31%,83,2015/8/18,中国,华北,北京,系固件,林谙,0%,4,北京,办公用品,小型企业,CN-2015-1751343,2015/8/16,一级,268
"Smead 搁板, 单宽度",4,6,68,299,228,提前装运,30%,68,2015/8/20,中国,华东,南昌,收纳具,钱婵娟,0%,1,江西,办公用品,公司,CN-2015-1734605,2015/8/16,标准级,228
"Harbour Creations 合法证物标签, 白色",5,6,4,268,204,提前装运,2%,4,2015/8/21,中国,中南,深圳,标签,潘荷,0%,4,广东,办公用品,小型企业,CN-2015-3434056,2015/8/16,标准级,204
"OIC 夹子, 混合尺寸",5,6,24,316,241,提前装运,10%,24,2015/8/21,中国,中南,深圳,系固件,潘荷,0%,3,广东,办公用品,小型企业,CN-2015-3434056,2015/8/16,标准级,241
"Sanford 铅笔刀, 混合尺寸",5,6,-95,710,542,提前装运,-18%,-95,2015/8/21,中国,中南,深圳,美术,潘荷,20%,5,广东,办公用品,小型企业,CN-2015-3434056,2015/8/16,标准级,542
"Cardinal 订书机, 实惠",5,6,172,609,465,提前装运,37%,172,2015/8/21,中国,中南,深圳,装订机,潘荷,0%,2,广东,办公用品,小型企业,CN-2015-3434056,2015/8/16,标准级,465
"夏普 传真机, 彩色",5,6,"1,053","7,267","5,546",提前装运,19%,"1,053",2015/8/21,中国,中南,深圳,复印机,潘荷,0%,4,广东,技术,小型企业,CN-2015-3434056,2015/8/16,标准级,"5,546"
"诺基亚 信号增强器, 混合尺寸",5,6,52,"1,704","1,301",提前装运,4%,52,2015/8/21,中国,中南,深圳,电话,潘荷,0%,2,广东,技术,小型企业,CN-2015-3434056,2015/8/16,标准级,"1,301"
"诺基亚 耳机, 全尺寸",5,6,260,"1,365","1,042",提前装运,25%,260,2015/8/21,中国,中南,深圳,电话,潘荷,0%,3,广东,技术,小型企业,CN-2015-3434056,2015/8/16,标准级,"1,042"
"Memorex 闪存驱动器, 耐用",5,6,76,"1,267",967,提前装运,8%,76,2015/8/21,中国,中南,深圳,配件,潘荷,0%,7,广东,技术,小型企业,CN-2015-3434056,2015/8/16,标准级,967
"Elite 开信刀, 蓝色",6,6,6,835,637,准时装运,1%,6,2015/8/22,中国,中南,湘潭,用品,常刚,0%,5,湖南,办公用品,消费者,CN-2015-2706465,2015/8/16,标准级,637
"Accos 图钉, 每包 12 个",6,6,52,160,122,准时装运,43%,52,2015/8/22,中国,中南,湘潭,系固件,常刚,0%,2,湖南,办公用品,消费者,CN-2015-2706465,2015/8/16,标准级,122
"Hon 圆桌, 组装",6,6,193,"2,373","1,811",准时装运,11%,193,2015/8/22,中国,中南,湘潭,桌子,常刚,25%,1,湖南,家具,消费者,CN-2015-2706465,2015/8/16,标准级,"1,811"
"Acco 装订机, 透明",7,6,0,625,477,延迟装运,0%,0,2015/8/23,中国,中南,广州,装订机,程蔓楚,0%,7,广东,办公用品,消费者,CN-2015-2686699,2015/8/16,标准级,477
"Ames 商业信封, 回收",4,6,7,164,125,提前装运,6%,7,2015/8/22,中国,东北,本溪,信封,洪梦,0%,2,辽宁,办公用品,公司,CN-2015-2271818,2015/8/18,标准级,125
"Enermax 笔记本, 每包 12 个",4,3,79,399,305,延迟装运,26%,79,2015/8/22,中国,华北,天津,纸张,顾黎明,0%,2,天津,办公用品,消费者,CN-2015-3138910,2015/8/18,二级,305
"佳能 复印机, 每套两件",4,3,991,"4,809","3,670",延迟装运,27%,991,2015/8/22,中国,华北,天津,复印机,顾黎明,0%,3,天津,技术,消费者,CN-2015-3138910,2015/8/18,二级,"3,670"
"Green Bar 令, 优质",7,6,108,546,417,延迟装运,26%,108,2015/8/25,中国,华东,苏州,纸张,万兰,0%,3,江苏,办公用品,消费者,CN-2015-1511005,2015/8/18,标准级,417
"Ibico 订书机, 回收",7,6,-15,570,435,延迟装运,-3%,-15,2015/8/25,中国,华东,苏州,装订机,万兰,40%,3,江苏,办公用品,消费者,CN-2015-1511005,2015/8/18,标准级,435
"Breville 咖啡研磨机, 黑色",0,0,154,750,572,准时装运,27%,154,2015/8/19,中国,华东,烟台,器具,蒋光,0%,2,山东,办公用品,小型企业,CN-2015-2281857,2015/8/19,当日,572
"Acco 订书机, 耐用",0,0,199,965,736,准时装运,27%,199,2015/8/19,中国,华东,烟台,装订机,蒋光,0%,3,山东,办公用品,小型企业,CN-2015-2281857,2015/8/19,当日,736
"Harbour Creations 摇椅, 黑色",0,0,472,"1,769","1,350",准时装运,35%,472,2015/8/19,中国,华东,烟台,椅子,蒋光,0%,2,山东,家具,小型企业,CN-2015-2281857,2015/8/19,当日,"1,350"
"OIC 图钉, 整包",2,3,-113,465,355,提前装运,-32%,-113,2015/8/22,中国,中南,蒲圻,系固件,冯乐,40%,9,湖北,办公用品,消费者,US-2015-2666353,2015/8/20,二级,355
"SAFCO 凳子, 每套两件",2,3,-262,624,477,提前装运,-55%,-262,2015/8/22,中国,中南,蒲圻,椅子,冯乐,40%,1,湖北,家具,消费者,US-2015-2666353,2015/8/20,二级,477
"GlobeWeis 邮寄品, 回收",4,6,139,457,349,提前装运,40%,139,2015/8/24,中国,中南,韶关,信封,苏冬露,0%,2,广东,办公用品,小型企业,CN-2015-5672005,2015/8/20,标准级,349
"Breville 冰箱, 白色",4,6,266,"3,164","2,415",提前装运,11%,266,2015/8/24,中国,中南,韶关,器具,苏冬露,0%,1,广东,办公用品,小型企业,CN-2015-5672005,2015/8/20,标准级,"2,415"
"Advantus 按钉, 混合尺寸",4,6,50,145,111,提前装运,45%,50,2015/8/24,中国,中南,韶关,系固件,苏冬露,0%,2,广东,办公用品,小型企业,CN-2015-5672005,2015/8/20,标准级,111
"Ibico 孔加固材料, 耐用",4,6,18,52,40,提前装运,45%,18,2015/8/24,中国,中南,韶关,装订机,苏冬露,0%,1,广东,办公用品,小型企业,CN-2015-5672005,2015/8/20,标准级,40
"Rogers 搁板, 金属",4,6,48,374,286,提前装运,17%,48,2015/8/24,中国,华东,泉州,收纳具,刘立,0%,1,福建,办公用品,消费者,CN-2015-4595101,2015/8/20,标准级,286
"Harbour Creations 运输标签, 红色",4,6,32,207,158,提前装运,20%,32,2015/8/24,中国,华东,泉州,标签,刘立,0%,3,福建,办公用品,消费者,CN-2015-4595101,2015/8/20,标准级,158
"Acme 修剪器, 钢",4,6,45,269,205,提前装运,22%,45,2015/8/24,中国,华东,泉州,用品,刘立,0%,1,福建,办公用品,消费者,CN-2015-4595101,2015/8/20,标准级,205
"Sauder 柜, 黑色",4,6,745,"5,138","3,921",提前装运,19%,745,2015/8/24,中国,华东,泉州,书架,刘立,0%,5,福建,家具,消费者,CN-2015-4595101,2015/8/20,标准级,"3,921"
"Tenex 框架, 耐用",4,6,75,"1,963","1,498",提前装运,5%,75,2015/8/24,中国,华东,泉州,用具,刘立,0%,3,福建,家具,消费者,CN-2015-4595101,2015/8/20,标准级,"1,498"
"Kraft 邮寄品, 红色",7,6,138,504,384,延迟装运,36%,138,2015/8/27,中国,东北,桦甸,信封,邹涛,0%,2,吉林,办公用品,公司,CN-2015-3476344,2015/8/20,标准级,384
"Bush 柜, 黑色",7,6,945,"6,195","4,728",延迟装运,20%,945,2015/8/27,中国,华北,北京,书架,邱谦,0%,7,北京,家具,消费者,CN-2015-2190451,2015/8/20,标准级,"4,728"
"Tenex 门挡, 一包多件",7,6,70,269,205,延迟装运,34%,70,2015/8/27,中国,华北,北京,用具,邱谦,0%,1,北京,家具,消费者,CN-2015-2190451,2015/8/20,标准级,205
"爱普生 喷墨打印机, 耐用",7,6,892,"3,771","2,878",延迟装运,31%,892,2015/8/27,中国,东北,桦甸,设备,邹涛,0%,2,吉林,技术,公司,CN-2015-3476344,2015/8/20,标准级,"2,878"
"Fellowes 锁柜, 单宽度",2,3,377,"1,268",968,提前装运,39%,377,2015/8/23,中国,华北,包头,收纳具,曹丽娜,0%,1,内蒙古,办公用品,消费者,CN-2015-5022660,2015/8/21,二级,968
"Advantus 闹钟, 优质",2,3,-42,367,280,提前装运,-15%,-42,2015/8/23,中国,华北,包头,用具,曹丽娜,40%,2,内蒙古,家具,消费者,CN-2015-5022660,2015/8/21,二级,280
"Bush 搁架, 黑色",3,3,-266,"1,900","1,450",准时装运,-18%,-266,2015/8/24,中国,西南,西昌,书架,彭绅,40%,3,四川,家具,公司,US-2015-5586841,2015/8/21,二级,"1,450"
"SAFCO 凳子, 每套两件",3,3,"-1,835","4,371","3,336",准时装运,-55%,"-1,835",2015/8/24,中国,西南,西昌,椅子,彭绅,40%,7,四川,家具,公司,US-2015-5586841,2015/8/21,二级,"3,336"
"Cardinal 孔加固材料, 回收",4,3,64,174,133,延迟装运,48%,64,2015/8/25,中国,中南,新乡,装订机,麦虹,0%,5,河南,办公用品,公司,CN-2015-4161431,2015/8/21,二级,133
"Acme 大剪刀, 蓝色",4,6,-338,916,699,提前装运,-48%,-338,2015/8/25,中国,西南,江油,用品,冯巧,40%,5,四川,办公用品,消费者,US-2015-5943918,2015/8/21,标准级,699
"Harbour Creations 沙滩椅, 每套两件",4,3,80,"1,055",805,延迟装运,10%,80,2015/8/25,中国,中南,新乡,椅子,麦虹,10%,3,河南,家具,公司,CN-2015-4161431,2015/8/21,二级,805
"Office Star 折叠椅, 黑色",4,6,-550,"1,310","1,000",提前装运,-55%,-550,2015/8/25,中国,西南,江油,椅子,冯巧,40%,4,四川,家具,消费者,US-2015-5943918,2015/8/21,标准级,"1,000"
"Green Bar 计划信息表, 回收",5,6,47,145,111,提前装运,43%,47,2015/8/26,中国,中南,云阳,纸张,楚宣,0%,1,河南,办公用品,消费者,CN-2015-2330845,2015/8/21,标准级,111
"Hon 凳子, 每套两件",3,3,604,"3,044","2,323",准时装运,26%,604,2015/8/25,中国,华东,上海,椅子,钟伟,0%,3,上海,家具,小型企业,CN-2015-3420308,2015/8/22,二级,"2,323"
"Novimex 圆形标签, 可调",5,3,26,77,58,延迟装运,45%,26,2015/8/27,中国,东北,叶柏寿,标签,谢雯,0%,3,辽宁,办公用品,小型企业,US-2015-1803838,2015/8/22,二级,58
"夏普 墨水, 每套两件",5,3,-395,913,697,延迟装运,-57%,-395,2015/8/27,中国,东北,叶柏寿,复印机,谢雯,40%,2,辽宁,技术,小型企业,US-2015-1803838,2015/8/22,二级,697
"Fiskars 尺子, 锯齿状",6,6,-11,123,93,准时装运,-12%,-11,2015/8/28,中国,东北,沈阳,用品,陈荷,40%,3,辽宁,办公用品,小型企业,US-2015-5443541,2015/8/22,标准级,93
"Hon 摇椅, 红色",6,6,243,"3,834","2,926",准时装运,8%,243,2015/8/28,中国,东北,沈阳,椅子,陈荷,40%,8,辽宁,家具,小型企业,US-2015-5443541,2015/8/22,标准级,"2,926"
"SAFCO 扶手椅, 红色",6,6,258,"5,079","3,876",准时装运,7%,258,2015/8/28,中国,东北,沈阳,椅子,陈荷,40%,3,辽宁,家具,小型企业,US-2015-5443541,2015/8/22,标准级,"3,876"
"Tenex 相框, 优质",6,6,0,555,424,准时装运,0%,0,2015/8/28,中国,东北,沈阳,用具,陈荷,40%,3,辽宁,家具,小型企业,US-2015-5443541,2015/8/22,标准级,424
"Tenex 门挡, 黑色",2,3,301,805,614,提前装运,49%,301,2015/8/25,中国,中南,广州,用具,韩婵,0%,3,广东,家具,消费者,CN-2015-5703090,2015/8/23,二级,614
"Rogers 文件夹, 金属",4,6,257,910,694,提前装运,37%,257,2015/8/27,中国,中南,平南,收纳具,顾升,0%,5,广西,办公用品,小型企业,US-2015-5334809,2015/8/23,标准级,694
"Eldon 相框, 优质",7,6,26,347,265,延迟装运,10%,26,2015/8/30,中国,东北,辽源,用具,秦刚,0%,1,吉林,家具,公司,CN-2015-1086295,2015/8/23,标准级,265
"Tenex 文件夹, 金属",2,1,28,409,312,延迟装运,9%,28,2015/8/26,中国,东北,朝阳,收纳具,程聪,0%,3,吉林,办公用品,消费者,CN-2015-3436186,2015/8/24,一级,312
"Binney & Smith 钢笔, 蓝色",4,6,-112,58,45,提前装运,-251%,-112,2015/8/28,中国,东北,营口,美术,谢斯云,80%,4,辽宁,办公用品,公司,CN-2015-5740094,2015/8/24,标准级,45
"Smead 盘, 金属",4,6,266,872,666,提前装运,40%,266,2015/8/28,中国,华东,德州,收纳具,杨欢,0%,3,山东,办公用品,公司,CN-2015-1455994,2015/8/24,标准级,666
"SanDisk 备忘录便条, 优质",4,6,12,312,238,提前装运,5%,12,2015/8/28,中国,华东,德州,纸张,杨欢,0%,3,山东,办公用品,公司,CN-2015-1455994,2015/8/24,标准级,238
"Deflect-O 分层置放架, 黑色",4,6,45,155,118,提前装运,38%,45,2015/8/28,中国,华东,德州,用具,杨欢,0%,1,山东,家具,公司,CN-2015-1455994,2015/8/24,标准级,118
"SanDisk 路由器, 可编程",4,6,"1,684","7,884","6,017",提前装运,28%,"1,684",2015/8/28,中国,华东,德州,配件,杨欢,0%,5,山东,技术,公司,CN-2015-1455994,2015/8/24,标准级,"6,017"
"Kraft 外皮和封条, 每套 50 个",5,6,0,251,191,提前装运,0%,0,2015/8/29,中国,华东,平度,信封,巩珑,0%,2,山东,办公用品,消费者,CN-2015-1398732,2015/8/24,标准级,191
"Rubvermaid 闹钟, 优质",5,6,27,895,683,提前装运,4%,27,2015/8/29,中国,华东,平度,用具,巩珑,0%,3,山东,家具,消费者,CN-2015-1398732,2015/8/24,标准级,683
"Cardinal 装订机, 回收",2,1,42,174,132,延迟装运,32%,42,2015/8/27,中国,华东,莱阳,装订机,马雯,0%,2,山东,办公用品,公司,CN-2015-5940390,2015/8/25,一级,132
"Cardinal 装订机, 实惠",2,1,28,169,129,延迟装运,22%,28,2015/8/27,中国,华东,莱阳,装订机,马雯,0%,2,山东,办公用品,公司,CN-2015-5940390,2015/8/25,一级,129
"Stockwell 回形针, 整包",2,3,132,826,630,提前装运,21%,132,2015/8/27,中国,中南,深圳,系固件,郭博,0%,10,广东,办公用品,公司,CN-2015-5223739,2015/8/25,二级,630
"SAFCO 折叠椅, 每套两件",2,3,41,968,739,提前装运,6%,41,2015/8/27,中国,中南,深圳,椅子,郭博,10%,2,广东,家具,公司,CN-2015-5223739,2015/8/25,二级,739
"宜家 搁架, 金属",3,3,-920,"2,492","1,902",准时装运,-48%,-920,2015/8/28,中国,华东,苏州,书架,陈宣,40%,4,江苏,家具,公司,US-2015-1761745,2015/8/25,二级,"1,902"
"Hewlett 墨水, 彩色",3,3,-196,551,420,准时装运,-47%,-196,2015/8/28,中国,华东,苏州,复印机,陈宣,40%,1,江苏,技术,公司,US-2015-1761745,2015/8/25,二级,420
"惠普 复印机, 红色",5,6,45,"2,958","2,258",提前装运,2%,45,2015/8/30,中国,中南,深圳,复印机,邓立,0%,2,广东,技术,消费者,CN-2015-5684742,2015/8/25,标准级,"2,258"
"Kraft 邮寄品, 银色",2,3,328,"1,959","1,495",提前装运,22%,328,2015/8/29,中国,东北,磐石,信封,罗君,0%,8,吉林,办公用品,消费者,CN-2015-5308381,2015/8/27,二级,"1,495"
"Novimex 椅垫, 可调",2,3,129,360,275,提前装运,47%,129,2015/8/29,中国,东北,磐石,椅子,罗君,0%,1,吉林,家具,消费者,CN-2015-5308381,2015/8/27,二级,275
"SAFCO 沙滩椅, 可调",2,3,473,"1,588","1,212",提前装运,39%,473,2015/8/29,中国,东北,磐石,椅子,罗君,0%,5,吉林,家具,消费者,CN-2015-5308381,2015/8/27,二级,"1,212"
"Ibico 订书机, 实惠",4,6,-48,943,720,提前装运,-7%,-48,2015/8/31,中国,华东,宝应,装订机,钱珊,40%,5,江苏,办公用品,公司,CN-2015-5105254,2015/8/27,标准级,720
"Cameo 邮寄品, 每套 50 个",6,6,256,700,534,准时装运,48%,256,2015/9/2,中国,华东,兴化,信封,沈彩,0%,3,江苏,办公用品,消费者,CN-2015-2823186,2015/8/27,标准级,534
"Ames 邮寄品, 银色",7,6,300,936,714,延迟装运,42%,300,2015/9/3,中国,中南,广州,信封,谭琼,0%,4,广东,办公用品,小型企业,CN-2015-1778069,2015/8/27,标准级,714
"Accos 按钉, 每包 12 个",0,0,0,256,195,准时装运,0%,0,2015/8/28,中国,华北,天津,系固件,熊荣,0%,3,天津,办公用品,消费者,CN-2015-1361457,2015/8/28,当日,195
"Eldon 搁板, 蓝色",4,6,54,592,452,提前装运,12%,54,2015/9/1,中国,中南,广州,收纳具,白松,0%,2,广东,办公用品,小型企业,CN-2015-2548759,2015/8/28,标准级,452
"Cardinal 装订机, 耐用",4,6,53,281,215,提前装运,25%,53,2015/9/1,中国,中南,广州,装订机,白松,0%,3,广东,办公用品,小型企业,CN-2015-2548759,2015/8/28,标准级,215
"Ibico 标签, 回收",4,6,22,113,87,提前装运,26%,22,2015/9/1,中国,中南,广州,装订机,白松,0%,2,广东,办公用品,小型企业,CN-2015-2548759,2015/8/28,标准级,87
"SAFCO 椅垫, 红色",4,6,92,988,754,提前装运,12%,92,2015/9/1,中国,中南,广州,椅子,白松,10%,3,广东,家具,小型企业,CN-2015-2548759,2015/8/28,标准级,754
"宜家 搁架, 黑色",5,6,641,"2,100","1,602",提前装运,40%,641,2015/9/2,中国,东北,延吉,书架,钟松,0%,2,吉林,家具,公司,CN-2015-1187433,2015/8/28,标准级,"1,602"
"Bevis 培训桌, 黑色",5,6,-282,"3,073","2,345",提前装运,-12%,-282,2015/9/2,中国,东北,哈尔滨,桌子,薛君,25%,2,黑龙江,家具,消费者,CN-2015-1756643,2015/8/28,标准级,"2,345"
"Hon 椅垫, 可调",5,6,866,"2,555","1,949",提前装运,44%,866,2015/9/2,中国,中南,驻马店,椅子,邢德伟,10%,8,河南,家具,消费者,CN-2015-1738807,2015/8/28,标准级,"1,949"
"Office Star 摇椅, 每套两件",5,6,160,"7,004","5,345",提前装运,3%,160,2015/9/2,中国,华东,池州,椅子,卢壁,0%,8,安徽,家具,消费者,CN-2015-4214287,2015/8/28,标准级,"5,345"
"佳能 墨水, 彩色",5,6,249,"3,635","2,774",提前装运,9%,249,2015/9/2,中国,中南,驻马店,复印机,邢德伟,0%,4,河南,技术,消费者,CN-2015-1738807,2015/8/28,标准级,"2,774"
"摩托罗拉 音频基座, 整包",0,0,162,"1,273",971,准时装运,17%,162,2015/8/29,中国,东北,大连,电话,肖岱,40%,2,辽宁,技术,公司,CN-2015-2938026,2015/8/29,当日,971
"夏普 复印机, 彩色",4,3,674,"3,535","2,697",延迟装运,25%,674,2015/9/2,中国,西南,昆明,复印机,曹琼,20%,3,云南,技术,小型企业,US-2015-1776641,2015/8/29,二级,"2,697"
"Smead 文件车, 金属",5,6,696,"2,339","1,785",提前装运,39%,696,2015/9/3,中国,中南,广州,收纳具,施奇,0%,3,广东,办公用品,消费者,CN-2015-2491194,2015/8/29,标准级,"1,785"
"Smead 文件车, 蓝色",5,6,683,"2,356","1,798",提前装运,38%,683,2015/9/3,中国,中南,武汉,收纳具,王丹,0%,3,湖北,办公用品,消费者,US-2015-3497234,2015/8/29,标准级,"1,798"
"Stanley 铅笔刀, 蓝色",5,6,38,364,278,提前装运,14%,38,2015/9/3,中国,中南,广州,美术,施奇,20%,3,广东,办公用品,消费者,CN-2015-2491194,2015/8/29,标准级,278
"SanDisk 信纸, 多色",5,6,251,"1,219",930,提前装运,27%,251,2015/9/3,中国,华东,上海,纸张,邱芯,0%,4,上海,办公用品,消费者,CN-2015-1787632,2015/8/29,标准级,930
"Sauder 书库, 黑色",5,6,"3,049","28,544","21,783",提前装运,14%,"3,049",2015/9/3,中国,中南,深圳,书架,陈惠英,0%,12,广东,家具,小型企业,CN-2015-5533473,2015/8/29,标准级,"21,783"
"Barricks 木桌, 组装",5,6,"2,298","11,888","9,072",提前装运,25%,"2,298",2015/9/3,中国,中南,广州,桌子,施奇,25%,5,广东,家具,消费者,CN-2015-2491194,2015/8/29,标准级,"9,072"
"Tenex 框架, 优质",5,6,"-1,896","4,383","3,345",提前装运,-57%,"-1,896",2015/9/3,中国,中南,武汉,用具,王丹,40%,11,湖北,家具,消费者,US-2015-3497234,2015/8/29,标准级,"3,345"
"惠普 传真复印机, 红色",5,6,463,"2,092","1,597",提前装运,29%,463,2015/9/3,中国,华东,上海,复印机,邱芯,0%,2,上海,技术,消费者,CN-2015-1787632,2015/8/29,标准级,"1,597"
"Eaton 令, 每包 12 个",6,6,92,375,286,准时装运,32%,92,2015/9/4,中国,华北,宣化,纸张,洪光,0%,2,河北,办公用品,公司,CN-2015-2578637,2015/8/29,标准级,286
"Green Bar 羊皮纸, 优质",6,6,12,102,78,准时装运,16%,12,2015/9/4,中国,华北,宣化,纸张,洪光,0%,1,河北,办公用品,公司,CN-2015-2578637,2015/8/29,标准级,78
"宜家 古典书架, 白色",6,6,"1,624","7,600","5,800",准时装运,28%,"1,624",2015/9/4,中国,华北,宣化,书架,洪光,0%,3,河北,家具,公司,CN-2015-2578637,2015/8/29,标准级,"5,800"
"Chromcraft 木桌, 白色",4,3,-475,"6,669","5,089",延迟装运,-9%,-475,2015/9/3,中国,华北,唐家庄,桌子,韦磊,25%,3,河北,家具,小型企业,US-2015-4839636,2015/8/30,二级,"5,089"
"Wilson Jones 订书机, 耐用",5,6,169,617,471,提前装运,36%,169,2015/9/4,中国,中南,浏阳,装订机,巩荣,0%,2,湖南,办公用品,消费者,CN-2015-3417942,2015/8/30,标准级,471
"柯尼卡 收据打印机, 多色",5,6,91,"1,495","1,141",提前装运,8%,91,2015/9/4,中国,东北,兰西,设备,常崆,0%,2,黑龙江,技术,消费者,US-2015-1300278,2015/8/30,标准级,"1,141"
"KitchenAid 冰箱, 银色",4,6,"1,776","6,466","4,934",提前装运,36%,"1,776",2015/9/4,中国,华东,上海,器具,郝壁,0%,2,上海,办公用品,公司,CN-2015-1608087,2015/8/31,标准级,"4,934"
"StarTech 喷墨打印机, 白色",4,6,-448,"2,203","1,681",提前装运,-27%,-448,2015/9/4,中国,西南,广元,设备,周柏,40%,2,四川,技术,小型企业,US-2015-5960733,2015/8/31,标准级,"1,681"
"Ames 马尼拉纸信封, 红色",5,6,150,518,395,提前装运,38%,150,2015/9/5,中国,华北,赤峰,信封,钟虹,0%,3,内蒙古,办公用品,小型企业,CN-2015-4451680,2015/8/31,标准级,395
"柯尼卡 收据打印机, 耐用",5,6,45,898,685,提前装运,7%,45,2015/9/5,中国,华北,赤峰,设备,钟虹,40%,2,内蒙古,技术,小型企业,CN-2015-4451680,2015/8/31,标准级,685
"Ibico 装订机盖, 透明",6,6,31,241,184,准时装运,17%,31,2015/9/6,中国,华北,北京,装订机,薛柏,0%,3,北京,办公用品,小型企业,CN-2015-5088485,2015/8/31,标准级,184
"贝尔金 路由器, 耐用",7,6,"1,015","3,167","2,417",延迟装运,42%,"1,015",2015/9/7,中国,华北,运城,配件,武廉,0%,2,山西,技术,消费者,CN-2015-2248987,2015/8/31,标准级,"2,417"
"Cardinal 装订机盖, 透明",2,3,90,350,267,提前装运,34%,90,2015/9/3,中国,华北,太原,装订机,廖珊,0%,5,山西,办公用品,小型企业,CN-2015-5579550,2015/9/1,二级,267
"Novimex 摇椅, 可调",2,3,168,"2,457","1,875",提前装运,9%,168,2015/9/3,中国,华北,太原,椅子,廖珊,0%,3,山西,家具,小型企业,CN-2015-5579550,2015/9/1,二级,"1,875"
"Bush 书架, 黑色",3,3,291,"1,527","1,165",准时装运,25%,291,2015/9/4,中国,中南,江门,书架,袁德,0%,2,广东,家具,消费者,CN-2015-2351493,2015/9/1,二级,"1,165"
"Cardinal 装订机盖, 耐用",5,6,-113,248,189,提前装运,-60%,-113,2015/9/6,中国,华东,丰县,装订机,邱丽雪,40%,5,江苏,办公用品,公司,US-2015-3504524,2015/9/1,标准级,189
"Smead 盘, 单宽度",5,3,129,890,679,延迟装运,19%,129,2015/9/6,中国,东北,哈尔滨,收纳具,夏惠英,0%,3,黑龙江,办公用品,消费者,CN-2015-1261828,2015/9/1,二级,679
"冲电器 打印机, 白色",1,1,822,"3,264","2,491",准时装运,33%,822,2015/9/4,中国,华东,邵武,设备,陶磊,0%,2,福建,技术,公司,CN-2015-3095328,2015/9/3,一级,"2,491"
"Tenex 文件夹, 金属",3,1,28,409,312,延迟装运,9%,28,2015/9/6,中国,华北,大同,收纳具,康娇,0%,3,山西,办公用品,消费者,CN-2015-4448783,2015/9/3,一级,312
"宜家 书架, 黑色",3,1,"1,133","3,031","2,313",延迟装运,49%,"1,133",2015/9/6,中国,华北,大同,书架,康娇,0%,4,山西,家具,消费者,CN-2015-4448783,2015/9/3,一级,"2,313"
"Green Bar 备忘录便条, 多色",4,6,31,337,257,提前装运,12%,31,2015/9/7,中国,华东,淮阴,纸张,任临耀,0%,3,江苏,办公用品,公司,CN-2015-3693425,2015/9/3,标准级,257
"摩托罗拉 办公室电话机, 全尺寸",4,6,941,"2,680","2,045",提前装运,46%,941,2015/9/7,中国,中南,蒲庙,电话,夏松,0%,6,广西,技术,小型企业,CN-2015-2468928,2015/9/3,标准级,"2,045"
